                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.3517,                0.77323,                0.89802,                0.90018,                 0.9149,                0.96036,                0.55275,                 1.4483,                0.61903,                0.93789,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.3446,                0.77426,                0.91536,                0.93037,                0.89372,                0.96526,                0.56461,                 1.4338,                0.62944,                0.92901,               0.000812,               0.000812,               0.000812
                     62,                 1.3724,                0.78719,                0.90799,                0.92728,                0.89855,                0.97241,                0.57593,                 1.4033,                0.63244,                0.92379,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.3136,                0.74241,                0.89844,                0.90034,                 0.9372,                0.96679,                0.58068,                  1.378,                0.62722,                0.92711,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3219,                0.75307,                0.89866,                0.89755,                0.94203,                0.96606,                0.56386,                 1.4301,                0.62496,                 0.9337,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3295,                0.76923,                0.88873,                 0.9433,                0.89372,                0.96887,                0.56292,                 1.3941,                0.60477,                0.92664,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.3187,                0.77559,                0.90557,                0.93474,                0.89958,                0.95486,                0.56707,                 1.4069,                  0.639,                0.93201,               0.000713,               0.000713,               0.000713
                     67,                 1.3471,                0.78779,                0.90306,                0.90635,                 0.9372,                0.96443,                0.56425,                 1.4064,                0.61453,                0.92995,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2795,                0.74814,                0.89443,                 0.9495,                0.90824,                0.97284,                0.56038,                 1.4183,                0.60659,                0.92763,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.276,                0.73366,                0.90161,                0.91838,                 0.9372,                0.97583,                0.57546,                 1.3833,                 0.5918,                0.92377,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3014,                0.74664,                0.90114,                0.95702,                0.92271,                0.97905,                 0.5769,                 1.3884,                  0.598,                0.92273,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3118,                0.74223,                0.91393,                0.90834,                0.95652,                0.96944,                0.57734,                 1.3874,                0.59846,                0.92132,               0.000614,               0.000614,               0.000614
                     72,                 1.2716,                0.73458,                0.90816,                0.92112,                0.94203,                0.97071,                0.57963,                 1.3463,                0.59201,                0.91913,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2737,                0.71606,                 0.8825,                0.89582,                 0.9554,                0.97125,                0.57691,                 1.3825,                0.60091,                0.92457,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.2553,                 0.7244,                0.88865,                0.94085,                0.92216,                0.97712,                0.57948,                 1.3446,                0.59818,                0.91899,              0.0005546,              0.0005546,              0.0005546
